camera_id,timestamp,bbox,confidence
CAM_01,2026-04-02 16:16:47,"(393, 270, 891, 719)",0.8607555627822876
CAM_01,2026-04-02 16:16:48,"(305, 338, 824, 719)",0.7742578387260437
CAM_01,2026-04-02 16:16:48,"(306, 317, 779, 719)",0.8145137429237366
CAM_01,2026-04-02 16:16:48,"(270, 231, 814, 720)",0.8040464520454407
CAM_01,2026-04-02 16:16:49,"(257, 216, 827, 720)",0.7964602708816528
CAM_01,2026-04-02 16:16:49,"(232, 243, 829, 719)",0.8282240629196167
CAM_01,2026-04-02 16:16:51,"(224, 253, 815, 719)",0.8225765824317932
CAM_01,2026-04-02 16:16:53,"(72, 209, 794, 717)",0.7867468595504761
CAM_01,2026-04-02 16:16:53,"(910, 178, 1279, 554)",0.5138286352157593
CAM_01,2026-04-02 16:16:54,"(683, 305, 1100, 718)",0.8469816446304321
CAM_01,2026-04-02 16:16:54,"(0, 326, 703, 719)",0.7515219449996948
CAM_01,2026-04-02 16:16:55,"(661, 316, 1058, 720)",0.8667766451835632
CAM_01,2026-04-02 16:16:57,"(660, 291, 1010, 658)",0.7528018355369568
CAM_01,2026-04-02 16:16:57,"(175, 514, 809, 717)",0.5799861550331116
CAM_01,2026-04-02 16:16:59,"(636, 294, 977, 670)",0.5746167302131653
CAM_01,2026-04-02 16:17:00,"(323, 309, 1061, 702)",0.8171907663345337
CAM_01,2026-04-02 16:17:02,"(332, 410, 1052, 715)",0.708901584148407
CAM_01,2026-04-02 16:17:02,"(386, 263, 1035, 719)",0.5020004510879517
CAM_01,2026-04-02 16:17:03,"(365, 263, 1046, 716)",0.7731826305389404
CAM_01,2026-04-02 16:17:03,"(335, 384, 1059, 715)",0.7350562810897827
CAM_01,2026-04-02 16:17:05,"(368, 373, 1047, 713)",0.7268421053886414
CAM_01,2026-04-02 16:17:06,"(372, 367, 1059, 715)",0.7398772239685059
CAM_01,2026-04-02 16:17:08,"(351, 265, 1028, 714)",0.7976269125938416
CAM_01,2026-04-02 16:17:09,"(352, 407, 893, 711)",0.8116308450698853
CAM_01,2026-04-02 16:17:11,"(593, 272, 956, 613)",0.810001790523529
CAM_01,2026-04-02 16:17:11,"(414, 441, 715, 711)",0.5326084494590759
CAM_01,2026-04-02 16:17:13,"(648, 273, 991, 637)",0.764362633228302
CAM_01,2026-04-02 16:17:14,"(686, 262, 1032, 607)",0.8318536877632141
CAM_01,2026-04-02 16:17:16,"(718, 268, 1046, 591)",0.859150767326355
CAM_01,2026-04-02 16:17:17,"(722, 260, 1053, 598)",0.8121638894081116
CAM_01,2026-04-02 16:17:17,"(725, 257, 1061, 605)",0.8291268348693848
CAM_01,2026-04-02 16:17:18,"(725, 257, 1060, 605)",0.8284779787063599
CAM_01,2026-04-02 16:17:18,"(725, 258, 1062, 607)",0.813766598701477
CAM_01,2026-04-02 16:17:18,"(723, 257, 1057, 604)",0.8001802563667297
CAM_01,2026-04-02 16:17:19,"(727, 260, 1051, 599)",0.7969129085540771
CAM_01,2026-04-02 16:17:19,"(723, 261, 1049, 591)",0.811003565788269
CAM_01,2026-04-02 16:17:20,"(721, 259, 1051, 594)",0.7901132702827454
CAM_01,2026-04-02 16:17:20,"(720, 260, 1052, 598)",0.7706362009048462
CAM_01,2026-04-02 16:17:21,"(718, 261, 1053, 600)",0.757820725440979
CAM_01,2026-04-02 16:17:21,"(719, 261, 1055, 602)",0.7547017335891724
CAM_01,2026-04-02 16:17:22,"(724, 259, 1067, 593)",0.8110249042510986
CAM_01,2026-04-02 16:17:22,"(728, 257, 1069, 595)",0.7649409174919128
CAM_01,2026-04-02 16:17:23,"(734, 259, 1070, 597)",0.7576698064804077
